  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
 3789°:    217.093903    217.093719    217.093719    217.093719    217.006363
 3790°:    217.151184    217.151001    217.151001    217.151001    217.063644
 3791°:    217.208481    217.208298    217.208298    217.208298    217.120911
 3792°:    217.265778    217.265594    217.265594    217.265594    217.178177
 3793°:    217.323074    217.322891    217.322891    217.322891    217.235458
 3794°:    217.380371    217.380188    217.380188    217.380188    217.292725
 3795°:    217.437683    217.437500    217.437500    217.437500    217.350006
 3796°:    217.494965    217.494781    217.494781    217.494781    217.407288
 3797°:    217.552246    217.552063    217.552063    217.552063    217.464539
 3798°:    217.609558    217.609375    217.609375    217.609375    217.521820
 3799°:    217.666855    217.666672    217.666672    217.666672    217.579086
 3800°:    217.724152    217.723969    217.723969    217.723969    217.636368
 3801°:    217.781433    217.781250    217.781250    217.781250    217.693634
 3802°:    217.838730    217.838547    217.838547    217.838547    217.750900
 3803°:    217.896027    217.895844    217.895844    217.895844    217.808182
 3804°:    217.953323    217.953140    217.953140    217.953140    217.865448
 3805°:    218.010635    218.010452    218.010452    218.010452    217.922729
 3806°:    218.067932    218.067749    218.067749    218.067749    217.980011
 3807°:    218.125214    218.125031    218.125031    218.125031    218.037277
 3808°:    218.182510    218.182327    218.182327    218.182327    218.094543
 3809°:    218.239807    218.239624    218.239624    218.239624    218.151810
 3810°:    218.297104    218.296921    218.296921    218.296921    218.209091
 3811°:    218.354416    218.354233    218.354233    218.354233    218.266373
 3812°:    218.411713    218.411530    218.411530    218.411530    218.323654
 3813°:    218.468979    218.468796    218.468796    218.468796    218.380905
 3814°:    218.526276    218.526093    218.526093    218.526093    218.438171
 3815°:    218.583588    218.583405    218.583405    218.583405    218.495453
 3816°:    218.640884    218.640701    218.640701    218.640701    218.552734
 3817°:    218.698181    218.697983    218.697983    218.697983    218.610001
 3818°:    218.755463    218.755280    218.755280    218.755280    218.667267
 3819°:    218.812759    218.812576    218.812576    218.812576    218.724533
 3820°:    218.870056    218.869873    218.869873    218.869873    218.781815
 3821°:    218.927368    218.927185    218.927185    218.927185    218.839096
 3822°:    218.984665    218.984482    218.984482    218.984482    218.896378
 3823°:    219.041962    219.041763    219.041763    219.041763    218.953644
 3824°:    219.099243    219.099060    219.099060    219.099060    219.010910
 3825°:    219.156540    219.156357    219.156357    219.156357    219.068176
 3826°:    219.213837    219.213654    219.213654    219.213654    219.125458
 3827°:    219.271133    219.270950    219.270950    219.270950    219.182724
 3828°:    219.328445    219.328262    219.328262    219.328262    219.240005
 3829°:    219.385712    219.385529    219.385529    219.385529    219.297256
 3830°:    219.443008    219.442825    219.442825    219.442825    219.354538
 3831°:    219.500320    219.500137    219.500137    219.500137    219.411819
 3832°:    219.557617    219.557434    219.557434    219.557434    219.469101
 3833°:    219.614914    219.614731    219.614731    219.614731    219.526367
 3834°:    219.672195    219.672012    219.672012    219.672012    219.583633
 3835°:    219.729492    219.729309    219.729309    219.729309    219.640900
 3836°:    219.786789    219.786606    219.786606    219.786606    219.698181
 3837°:    219.844086    219.843903    219.843903    219.843903    219.755447
 3838°:    219.901398    219.901215    219.901215    219.901215    219.812729
 3839°:    219.958694    219.958511    219.958511    219.958511    219.870010
 3840°:    220.015976    220.015793    220.015793    220.015793    219.927277
 3841°:    220.073273    220.073090    220.073090    220.073090    219.984543
 3842°:    220.130569    220.130386    220.130386    220.130386    220.041824
 3843°:    220.187866    220.187683    220.187683    220.187683    220.099091
 3844°:    220.245178    220.244995    220.244995    220.244995    220.156372
 3845°:    220.302444    220.302261    220.302261    220.302261    220.213623
 3846°:    220.359741    220.359558    220.359558    220.359558    220.270905
 3847°:    220.417038    220.416855    220.416855    220.416855    220.328171
 3848°:    220.474350    220.474167    220.474167    220.474167    220.385452
 3849°:    220.531647    220.531464    220.531464    220.531464    220.442734
 3850°:    220.588943    220.588745    220.588745    220.588745    220.500000
 3851°:    220.646225    220.646042    220.646042    220.646042    220.557266
 3852°:    220.703522    220.703339    220.703339    220.703339    220.614548
 3853°:    220.760818    220.760635    220.760635    220.760635    220.671814
 3854°:    220.818130    220.817947    220.817947    220.817947    220.729095
 3855°:    220.875427    220.875244    220.875244    220.875244    220.786377
 3856°:    220.932724    220.932526    220.932526    220.932526    220.843643
 3857°:    220.990005    220.989822    220.989822    220.989822    220.900909
 3858°:    221.047302    221.047119    221.047119    221.047119    220.958176
 3859°:    221.104599    221.104416    221.104416    221.104416    221.015457
 3860°:    221.161896    221.161713    221.161713    221.161697    221.072723
 3861°:    221.219193    221.218994    221.218994    221.218994    221.129990
 3862°:    221.276474    221.276291    221.276291    221.276291    221.187271
 3863°:    221.333771    221.333588    221.333588    221.333588    221.244537
 3864°:    221.391083    221.390900    221.390900    221.390900    221.301819
 3865°:    221.448380    221.448196    221.448196    221.448196    221.359100
 3866°:    221.505676    221.505478    221.505478    221.505478    221.416367
 3867°:    221.562973    221.562775    221.562775    221.562775    221.473633
 3868°:    221.620255    221.620071    221.620071    221.620071    221.530899
 3869°:    221.677551    221.677368    221.677368    221.677368    221.588181
 3870°:    221.734848    221.734665    221.734665    221.734665    221.645447
 3871°:    221.792160    221.791977    221.791977    221.791977    221.702744
 3872°:    221.849457    221.849258    221.849258    221.849258    221.760010
 3873°:    221.906723    221.906540    221.906540    221.906540    221.817261
 3874°:    221.964035    221.963852    221.963852    221.963852    221.874542
 3875°:    222.021332    222.021149    222.021149    222.021149    221.931824
 3876°:    222.078629    222.078445    222.078445    222.078445    221.989090
 3877°:    222.135941    222.135757    222.135757    222.135757    222.046371
 3878°:    222.193207    222.193024    222.193024    222.193024    222.103622
 3879°:    222.250504    222.250320    222.250320    222.250320    222.160904
 3880°:    222.307816    222.307632    222.307632    222.307632    222.218185
 3881°:    222.365112    222.364929    222.364929    222.364929    222.275467
 3882°:    222.422409    222.422226    222.422226    222.422226    222.332733
 3883°:    222.479706    222.479507    222.479507    222.479507    222.389999
 3884°:    222.536987    222.536804    222.536804    222.536804    222.447266
 3885°:    222.594284    222.594101    222.594101    222.594101    222.504547
 3886°:    222.651581    222.651398    222.651398    222.651398    222.561813
 3887°:    222.708893    222.708710    222.708710    222.708710    222.619095
 3888°:    222.766190    222.766006    222.766006    222.766006    222.676376
 3889°:    222.823486    222.823288    222.823288    222.823288    222.733643
 3890°:    222.880768    222.880585    222.880585    222.880585    222.790909
 3891°:    222.938065    222.937881    222.937881    222.937881    222.848190
 3892°:    222.995361    222.995178    222.995178    222.995178    222.905457
 3893°:    223.052658    223.052460    223.052460    223.052460    222.962723
 3894°:    223.109955    223.109756    223.109756    223.109756    223.019989
 3895°:    223.167236    223.167053    223.167053    223.167053    223.077271
 3896°:    223.224533    223.224350    223.224350    223.224350    223.134537
 3897°:    223.281845    223.281662    223.281662    223.281662    223.191818
 3898°:    223.339142    223.338959    223.338959    223.338959    223.249100
 3899°:    223.396439    223.396240    223.396240    223.396240    223.306366
 3900°:    223.453735    223.453537    223.453537    223.453537    223.363632
 3901°:    223.511017    223.510834    223.510834    223.510834    223.420914
 3902°:    223.568314    223.568130    223.568130    223.568130    223.478180
 3903°:    223.625626    223.625443    223.625443    223.625443    223.535461
 3904°:    223.682922    223.682739    223.682739    223.682739    223.592743
 3905°:    223.740219    223.740021    223.740021    223.740021    223.650009
 3906°:    223.797485    223.797302    223.797302    223.797302    223.707260
 3907°:    223.854797    223.854614    223.854614    223.854614    223.764542
 3908°:    223.912094    223.911911    223.911911    223.911911    223.821823
 3909°:    223.969391    223.969208    223.969208    223.969208    223.879089
 3910°:    224.026688    224.026489    224.026489    224.026489    223.936356
 3911°:    224.083969    224.083786    224.083786    224.083786    223.993637
